Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1191,25,14/04/2024 17:00,Kia Center,Orlando Magic,Milwaukee Bucks,
1192,25,14/04/2024 17:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
1193,25,14/04/2024 19:30,FedExForum,Memphis Grizzlies,Denver Nuggets,
1194,25,14/04/2024 19:30,Target Center,Minnesota Timberwolves,Phoenix Suns,
1195,25,14/04/2024 19:30,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
1196,25,14/04/2024 19:30,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,
1197,25,14/04/2024 19:30,Frost Bank Center,San Antonio Spurs,Detroit Pistons,
1198,25,14/04/2024 19:30,Chase Center,Golden State Warriors,Utah Jazz,
1199,25,14/04/2024 19:30,Crypto.com Arena,LA Clippers,Houston Rockets,
1200,25,14/04/2024 19:30,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
